angle_step,servo_motor_delay,total_time_s,num_points,plane_a,plane_b,plane_c,plane_d,angle_error_deg,distance_error,y_intercept,y_intercept_error
1.0,500.0,10569.15609359,1891.0,-0.31231360975154016,-0.6864734203246465,-0.6566692107535909,14.552235765833746,46.64840623927601,34.55223576583374,21.19854219403238,1.198542194032381
5.0,500.0,548.9210443000001,91.0,-0.2904678690773398,-0.6983624134107945,-0.6541546885628197,14.840509091615834,45.704232590726235,34.840509091615836,21.250440754872454,1.2504407548724537
15.0,200.0,42.04827571,15.0,0.07295942637539929,0.28259056167283314,-0.9564619681704053,10.255156502246866,73.58512144992426,30.255156502246866,-36.28980543985644,56.28980543985644
5.0,200.0,242.88568571000002,91.0,-0.2914261937168629,-0.6967369549687941,-0.6554604406037897,14.740018608327738,45.834207820075,34.74001860832774,21.155786991358774,1.1557869913587737
15.0,10.0,7.83043619,15.0,0.0922658140427134,0.2384967114303511,-0.9667504011873713,9.294757527640973,76.20216796942223,29.294757527640975,-38.97226704677372,58.97226704677372
5.0,100.0,140.8769586,91.0,-0.0000914461909296191,-0.58094470587771,-0.81394302033389,14.417075683154618,54.482984316868425,34.41707568315462,24.816605672260728,4.816605672260728
15.0,10.0,7.83029608,15.0,0.04831933719972125,0.3047465450434559,-0.9512070147642188,8.612481749248309,72.2570838960549,28.61248174924831,-28.26113007456802,48.261130074568015
15.0,500.0,96.06641866,15.0,0.13171701498153895,0.19425138956533058,-0.9720684264064393,10.823164818006827,78.79900481999368,30.823164818006827,-55.71730962761933,75.71730962761933
1.0,200.0,4718.97267559,1891.0,-0.30947875769634314,-0.6865485573879948,-0.6579315898200901,14.471253285703579,46.642485565920666,34.47125328570358,21.078266249309618,1.0782662493096176
1.0,10.0,1013.36068516,1891.0,-0.0008429489263464926,-0.598160772010083,-0.8013756798564634,14.61194425838952,53.261714101729694,34.61194425838952,24.428121906568645,4.428121906568645
1.0,200.0,4718.92229202,1891.0,-0.3113741992237393,-0.6866726465973103,-0.6569069831207617,14.461110900201222,46.632706281246826,34.46111090020122,21.059686841846403,1.0596868418464034
5.0,500.0,548.91375075,91.0,-0.29206521878216946,-0.6963355121610736,-0.655602594931639,14.854698096446354,45.866263968770156,34.854698096446356,21.332673455565804,1.3326734555658035
1.0,10.0,1013.66135007,1891.0,-0.0002379334153011692,-0.591511143595778,-0.8062967880313705,13.636920761634624,53.73568297913036,33.63692076163463,23.054376759051742,3.054376759051742
15.0,50.0,15.02949055,15.0,0.15340627542553337,0.16676454912601343,-0.9739897842456373,10.819092990688711,80.40024391995566,30.81909299068871,-64.87645634152979,84.87645634152979
5.0,50.0,89.82988066,91.0,-0.2897807762054073,-0.6980550418686818,-0.654787187003155,14.149693296710259,45.72883272224663,34.14969329671026,20.270168465271396,0.2701684652713965
15.0,10.0,7.8289336,15.0,-0.00009563689845485574,0.3774386049275441,-0.9260346053814258,8.51918392658904,67.8248860736984,28.51918392658904,-22.571045503478494,42.571045503478494
1.0,200.0,4718.95913738,1891.0,-0.3109252237253393,-0.6876010473870474,-0.6561480815209194,14.428523214594982,46.559490301495735,34.42852321459498,20.98385869164221,0.9838586916422116
5.0,500.0,548.94122122,91.0,-0.28957053997907345,-0.6967878240997535,-0.6562283372139296,14.86630550521891,45.83014455735432,34.86630550521891,21.335484046992505,1.3354840469925051
1.0,50.0,1793.78191352,1891.0,-0.3078005638165455,-0.68861053519456,-0.656562520810683,13.786237762490424,46.47977891659864,33.78623776249042,20.020370090032475,0.020370090032475474
1.0,50.0,1793.77430753,1891.0,-0.3055221801731373,-0.6879178967583732,-0.6583503358712514,13.92926632708695,46.53448249607215,33.92926632708695,20.24844300856955,0.2484430085695486
15.0,500.0,96.06930989,15.0,0.11970774234081445,0.20943687694194657,-0.9704670272608282,10.909900050643849,77.91064615463894,30.90990005064385,-52.0915906021075,72.0915906021075
1.0,500.0,10569.12807688,1891.0,-0.3124872045564754,-0.6855241231296771,-0.6575776939615325,14.653535359594263,46.72315958628634,34.653535359594265,21.37566697535796,1.3756669753579587
1.0,100.0,2769.06801166,1891.0,-0.30922105234828684,-0.6897861775056452,-0.6546582086148227,14.279388860860406,46.38681465188319,34.27938886086041,20.701181505979864,0.7011815059798643
15.0,100.0,24.03204282,15.0,0.1307828001986502,0.1999977860178479,-0.9710287043955801,10.542064126237548,78.4631704347648,30.54206412623755,-52.71090413619263,72.71090413619262
15.0,100.0,24.03148082,15.0,0.20720656826409556,0.09389608178833547,-0.973780757610775,11.551991181908802,84.61221405494248,31.551991181908804,-123.02953394743128,143.02953394743128
5.0,100.0,140.86345915,91.0,-0.28972067623902925,-0.6964644917903073,-0.6565052485965887,14.688697064522037,45.85596654123396,34.68869706452204,21.090374653219985,1.0903746532199854
15.0,50.0,15.02888326,15.0,0.17887164768501626,0.12471447524696248,-0.9759360805495011,11.396698453395063,82.8357326082021,31.39669845339506,-91.38232294869587,111.38232294869587
15.0,100.0,24.03300743,15.0,0.13021555080362318,0.20093926966087206,-0.9709105624294465,10.536014920471581,78.4081096674764,30.53601492047158,-52.43382708742476,72.43382708742476
5.0,50.0,89.85825135,91.0,-0.28876487619966773,-0.6950609114624279,-0.6584110992612516,14.2368958221169,45.96792873551929,34.2368958221169,20.48294701562496,0.48294701562495845
1.0,50.0,1793.9061984,1891.0,-0.3093998483954714,-0.6840099764854689,-0.6606073613586269,14.353597279831705,46.84220293152948,34.3535972798317,20.984485275466785,0.9844852754667848
15.0,200.0,42.049686810000004,15.0,0.13832313670260013,0.1911246358221846,-0.9717705919786782,10.891479014465043,78.981576069605,30.89147901446504,-56.98626431706103,76.98626431706103
5.0,200.0,242.87394481,91.0,-0.2901197041455379,-0.6984496551472109,-0.6542160472590444,14.708413492973584,45.697248419978706,34.708413492973584,21.058659539138176,1.0586595391381763
15.0,500.0,96.06493316,15.0,0.10661085533434499,0.23067768172873773,-0.9671721318757766,10.460674724199249,76.66302702433211,30.46067472419925,-45.34758042392821,65.3475804239282
5.0,100.0,140.91663431,91.0,-0.29520318165442,-0.6975375200644217,-0.652913845498381,14.677059856269851,45.77022874621284,34.67705985626985,21.041247867088696,1.0412478670886962
15.0,50.0,15.03007022,15.0,0.22651361041174392,0.051169419626804775,-0.9726629810953499,11.631769438052187,87.06692731575336,31.63176943805219,-227.31876818002755,247.31876818002755
5.0,50.0,89.82888685,91.0,-0.29342845812576596,-0.6986290370017,-0.6525467099143272,14.128783256599657,45.68288532533901,34.12878325659966,20.22358434633068,0.22358434633067858
1.0,100.0,1947.58123047,1331.0,-0.48845386547737046,-0.4284534487868786,-0.7601581832242841,12.532413892702841,64.63054790847525,32.53241389270284,29.250351299976856,9.250351299976856
5.0,200.0,242.87299984,91.0,-0.289615727612698,-0.6995074903033544,-0.653308503946543,14.665023027071738,45.612496777090556,34.66502302707174,20.964783408840955,0.9647834088409546
1.0,500.0,10569.29430591,1891.0,-0.3120014743476169,-0.686568859842344,-0.6567178090319291,14.618599008655279,46.64088566775897,34.61859900865528,21.292254664757344,1.292254664757344
5.0,10.0,48.97101657,91.0,-0.14288055388100812,-0.9897397314253339,-0.0006413741218430949,16.050450476136742,8.214649290721669,36.050450476136746,16.216839605925824,3.7831603940741765
5.0,10.0,18.39398698,35.0,-0.5236164675369868,-0.5373239673692997,-0.6611420036683523,10.795296066736757,57.498345155113384,30.795296066736757,20.09085155756176,0.09085155756175922
1.0,10.0,1013.69291611,1891.0,-0.31625300987706845,-0.6897005502990571,-0.651380982728904,14.351253033399884,46.39359049738838,34.351253033399885,20.80794777846287,0.8079477784628715
15.0,200.0,42.05097082,15.0,0.12027359866026384,0.21818422220912376,-0.9684678139434006,10.717372393160309,77.39759401752896,30.71737239316031,-49.12074890038563,69.12074890038562
1.0,100.0,2769.24960451,1891.0,-0.31283436248174673,-0.6874232805541245,-0.6554264985510156,14.419684117057118,46.57351628608074,34.419684117057116,20.976426788213466,0.9764267882134661
